;Index;wheat;maize;soybeans;rice;class;Word1;Word2;Word3;Word4;Word5
1906;13235;29.0;17.0;6.0;12.0;0.0;wheat;mtha;year;averag;mmt
1907;12487;18.0;14.0;10.0;13.0;0.0;crop;year;wheat;mmt;last
1908;27669;27.0;21.0;8.0;8.0;0.0;wheat;price;futur;specul;corn
1909;48156;0.0;0.0;0.0;6.0;5.0;percent;output;year;steel;mill
1910;26768;0.0;0.0;0.0;0.0;5.0;said;fuerdai;hang;compani;wang
1911;9218;0.0;0.0;0.0;0.0;5.0;29400;200;100;rapem;price
1912;22627;51.0;35.0;21.0;22.0;0.0;wheat;us;price;corn;tonn
1913;48711;0.0;0.0;0.0;0.0;5.0;percent;abe;year;boj;stimulus
1914;18516;28.0;22.0;8.0;9.0;0.0;wheat;price;cattl;futur;corn
1915;10344;0.0;0.0;0.0;0.0;5.0;200;price;17100;18600;tonn
1916;37219;2.0;4.0;4.0;2.0;5.0;said;monsanto;compani;begemann;syngenta
1917;12976;0.0;0.0;1.0;0.0;5.0;percent;japan;chicken;mcdonald;said
1918;25678;31.0;36.0;12.0;12.0;1.0;corn;wheat;price;futur;us
1919;27161;0.0;0.0;0.0;0.0;5.0;glencor;share;chairman;director;mack
1920;9573;3.0;9.0;5.0;2.0;1.0;corn;forecast;rain;yesterday;northern
1921;37033;45.0;37.0;18.0;25.0;0.0;wheat;price;corn;futur;grain
1922;59807;0.0;0.0;0.0;0.0;5.0;percent;market;2016;index;stock
1923;41896;0.0;0.0;0.0;0.0;5.0;trade;cut;bank;year;said
1924;9697;11.0;8.0;12.0;2.0;2.0;12;soybean;close;wheat;may
1925;22465;55.0;32.0;16.0;16.0;0.0;wheat;winter;red;corn;price
1926;54952;0.0;0.0;0.0;0.0;5.0;may;said;copper;miner;million
1927;56799;0.0;0.0;0.0;0.0;5.0;sanction;russian;russia;storchak;said
1928;60290;0.0;0.0;0.0;0.0;5.0;shell;compani;bg;share;gas
1929;24946;39.0;31.0;18.0;19.0;0.0;wheat;corn;futur;price;crop
1930;37394;35.0;28.0;16.0;16.0;0.0;wheat;price;corn;futur;acr
1931;54270;0.0;0.0;0.0;0.0;5.0;said;vote;referendum;voter;side
1932;12331;0.0;4.0;1.0;0.0;5.0;yield;100;final;eur;chg
1933;9605;14.0;8.0;11.0;3.0;0.0;12;wheat;close;soybean;estim
1934;53602;0.0;0.0;0.0;0.0;5.0;persh;valeant;squar;march;ackman
1935;3259;16.0;15.0;9.0;13.0;0.0;tonn;million;expect;world;export
1936;26385;36.0;29.0;17.0;17.0;0.0;wheat;price;hectar;corn;futur
1937;16519;42.0;35.0;21.0;23.0;0.0;barley;price;wheat;tonn;crop
1938;46160;0.0;0.0;0.0;0.0;5.0;republican;said;fund;spend;govern
1939;56661;0.0;0.0;0.0;0.0;5.0;said;bisaro;compani;china;actavi
1940;38236;0.0;0.0;0.0;0.0;5.0;compani;mine;anglo;billion;american
1941;37496;36.0;27.0;17.0;14.0;0.0;wheat;corn;futur;price;us
1942;37689;0.0;0.0;0.0;0.0;5.0;platt;price;year;said;last
1943;31811;47.0;34.0;14.0;22.0;0.0;wheat;price;market;futur;grain
1944;56504;0.0;0.0;0.0;0.0;5.0;crew;j;billion;million;show
